,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,,,,,,,,
298,1,1,male,,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE,,,,,,,,
299,1,1,female,50,0,1,247.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
305,1,1,male,0.92,1,2,151.55,S,First,child,FALSE,C,Southampton,yes,FALSE,,,,,,,,
306,1,1,female,,0,0,110.8833,C,First,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
307,1,1,female,17,1,0,108.9,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,,,,,,,
309,1,1,female,30,0,0,56.9292,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,,,,,,,,
310,1,1,female,24,0,0,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,,,,,,,,
311,1,1,female,18,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
318,1,1,female,31,0,2,164.8667,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
319,1,1,female,40,1,1,134.5,C,First,woman,FALSE,E,Cherbourg,yes,FALSE,,,,,,,,
325,1,1,female,36,0,0,135.6333,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,,,,,,,,
329,1,1,female,16,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
331,0,1,male,45.5,0,0,28.5,S,First,man,TRUE,C,Southampton,no,TRUE,,,,,,,,
332,0,1,male,38,0,1,153.4625,S,First,man,TRUE,C,Southampton,no,FALSE,,,,,,,,
334,1,1,female,,1,0,133.65,S,First,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
336,0,1,male,29,1,0,66.6,S,First,man,TRUE,C,Southampton,no,FALSE,,,,,,,,
337,1,1,female,41,0,0,134.5,C,First,woman,FALSE,E,Cherbourg,yes,TRUE,,,,,,,,
339,0,1,male,45,0,0,35.5,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
341,1,1,female,24,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
351,0,1,male,,0,0,35,S,First,man,TRUE,C,Southampton,no,TRUE,,,,,,,,
356,1,1,female,22,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE,,,,,,,,
366,1,1,female,60,1,0,75.25,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,,,,,,,
369,1,1,female,24,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,,,,,,,,
370,1,1,male,25,1,0,55.4417,C,First,man,TRUE,E,Cherbourg,yes,FALSE,,,,,,,,
373,0,1,male,22,0,0,135.6333,C,First,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
375,1,1,female,,1,0,82.1708,C,First,woman,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
377,0,1,male,27,0,2,211.5,C,First,man,TRUE,C,Cherbourg,no,FALSE,,,,,,,,
380,1,1,female,42,0,0,227.525,C,First,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
383,1,1,female,35,1,0,52,S,First,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
390,1,1,male,36,1,2,120,S,First,man,TRUE,B,Southampton,yes,FALSE,,,,,,,,
393,1,1,female,23,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,,,,,,,
412,1,1,female,33,1,0,90,Q,First,woman,FALSE,C,Queenstown,yes,FALSE,,,,,,,,
430,1,1,male,28,0,0,26.55,S,First,man,TRUE,C,Southampton,yes,TRUE,,,,,,,,
434,0,1,male,50,1,0,55.9,S,First,man,TRUE,E,Southampton,no,FALSE,,,,,,,,
435,1,1,female,14,1,2,120,S,First,child,FALSE,B,Southampton,yes,FALSE,,,,,,,,
438,0,1,male,64,1,4,263,S,First,man,TRUE,C,Southampton,no,FALSE,,,,,,,,
445,1,1,male,4,0,2,81.8583,S,First,child,FALSE,A,Southampton,yes,FALSE,,,,,,,,
447,1,1,male,34,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
449,1,1,male,52,0,0,30.5,S,First,man,TRUE,C,Southampton,yes,TRUE,,,,,,,,
452,0,1,male,30,0,0,27.75,C,First,man,TRUE,C,Cherbourg,no,TRUE,,,,,,,,
453,1,1,male,49,1,0,89.1042,C,First,man,TRUE,C,Cherbourg,yes,FALSE,,,,,,,,
456,0,1,male,65,0,0,26.55,S,First,man,TRUE,E,Southampton,no,TRUE,,,,,,,,
457,1,1,female,,1,0,51.8625,S,First,woman,FALSE,D,Southampton,yes,FALSE,,,,,,,,
460,1,1,male,48,0,0,26.55,S,First,man,TRUE,E,Southampton,yes,TRUE,,,,,,,,
462,0,1,male,47,0,0,38.5,S,First,man,TRUE,E,Southampton,no,TRUE,,,,,,,,
467,0,1,male,56,0,0,26.55,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
475,0,1,male,,0,0,52,S,First,man,TRUE,A,Southampton,no,TRUE,,,,,,,,
484,1,1,male,25,1,0,91.0792,C,First,man,TRUE,B,Cherbourg,yes,FALSE,,,,,,,,
486,1,1,female,35,1,0,90,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
487,0,1,male,58,0,0,29.7,C,First,man,TRUE,B,Cherbourg,no,TRUE,,,,,,,,
492,0,1,male,55,0,0,30.5,S,First,man,TRUE,C,Southampton,no,TRUE,,,,,,,,
493,0,1,male,71,0,0,49.5042,C,First,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
496,1,1,female,54,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,,,,,,,
498,0,1,female,25,1,2,151.55,S,First,woman,FALSE,C,Southampton,no,FALSE,,,,,,,,
504,1,1,female,16,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,,,,,,,,
505,0,1,male,18,1,0,108.9,C,First,man,TRUE,C,Cherbourg,no,FALSE,,,,,,,,
507,1,1,male,,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
512,1,1,male,36,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,,,,,,,,
513,1,1,female,54,1,0,59.4,C,First,woman,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
515,0,1,male,47,0,0,34.0208,S,First,man,TRUE,D,Southampton,no,TRUE,,,,,,,,
520,1,1,female,30,0,0,93.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,,,,,,,,
523,1,1,female,44,0,1,57.9792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
527,0,1,male,,0,0,221.7792,S,First,man,TRUE,C,Southampton,no,TRUE,,,,,,,,
536,0,1,male,45,0,0,26.55,S,First,man,TRUE,B,Southampton,no,TRUE,,,,,,,,
537,1,1,female,30,0,0,106.425,C,First,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
539,1,1,female,22,0,2,49.5,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
540,1,1,female,36,0,2,71,S,First,woman,FALSE,B,Southampton,yes,FALSE,,,,,,,,
544,0,1,male,50,1,0,106.425,C,First,man,TRUE,C,Cherbourg,no,FALSE,,,,,,,,
545,0,1,male,64,0,0,26,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
550,1,1,male,17,0,2,110.8833,C,First,man,TRUE,C,Cherbourg,yes,FALSE,,,,,,,,
555,0,1,male,62,0,0,26.55,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
556,1,1,female,48,1,0,39.6,C,First,woman,FALSE,A,Cherbourg,yes,FALSE,,,,,,,,
557,0,1,male,,0,0,227.525,C,First,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
558,1,1,female,39,1,1,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE,,,,,,,,
571,1,1,female,53,2,0,51.4792,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
572,1,1,male,36,0,0,26.3875,S,First,man,TRUE,E,Southampton,yes,TRUE,,,,,,,,
577,1,1,female,39,1,0,55.9,S,First,woman,FALSE,E,Southampton,yes,FALSE,,,,,,,,
581,1,1,female,39,1,1,110.8833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,,,,,,,
583,0,1,male,36,0,0,40.125,C,First,man,TRUE,A,Cherbourg,no,TRUE,,,,,,,,
585,1,1,female,18,0,2,79.65,S,First,woman,FALSE,E,Southampton,yes,FALSE,,,,,,,,
587,1,1,male,60,1,1,79.2,C,First,man,TRUE,B,Cherbourg,yes,FALSE,,,,,,,,
591,1,1,female,52,1,0,78.2667,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,,,,,,,
599,1,1,male,49,1,0,56.9292,C,First,man,TRUE,A,Cherbourg,yes,FALSE,,,,,,,,
602,0,1,male,,0,0,42.4,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
604,1,1,male,35,0,0,26.55,C,First,man,TRUE,,Cherbourg,yes,TRUE,,,,,,,,
607,1,1,male,27,0,0,30.5,S,First,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
609,1,1,female,40,0,0,153.4625,S,First,woman,FALSE,C,Southampton,yes,TRUE,,,,,,,,
621,1,1,male,42,1,0,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE,,,,,,,,
625,0,1,male,61,0,0,32.3208,S,First,man,TRUE,D,Southampton,no,TRUE,,,,,,,,
627,1,1,female,21,0,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,TRUE,,,,,,,,
630,1,1,male,80,0,0,30,S,First,man,TRUE,A,Southampton,yes,TRUE,,,,,,,,
632,1,1,male,32,0,0,30.5,C,First,man,TRUE,B,Cherbourg,yes,TRUE,,,,,,,,
633,0,1,male,,0,0,0,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
641,1,1,female,24,0,0,69.3,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,,,,,,,,
645,1,1,male,48,1,0,76.7292,C,First,man,TRUE,D,Cherbourg,yes,FALSE,,,,,,,,
647,1,1,male,56,0,0,35.5,C,First,man,TRUE,A,Cherbourg,yes,TRUE,,,,,,,,
659,0,1,male,58,0,2,113.275,C,First,man,TRUE,D,Cherbourg,no,FALSE,,,,,,,,
660,1,1,male,50,2,0,133.65,S,First,man,TRUE,,Southampton,yes,FALSE,,,,,,,,
662,0,1,male,47,0,0,25.5875,S,First,man,TRUE,E,Southampton,no,TRUE,,,,,,,,
669,1,1,female,,1,0,52,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
671,0,1,male,31,1,0,52,S,First,man,TRUE,B,Southampton,no,FALSE,,,,,,,,
679,1,1,male,36,0,1,512.3292,C,First,man,TRUE,B,Cherbourg,yes,FALSE,,,,,,,,
681,1,1,male,27,0,0,76.7292,C,First,man,TRUE,D,Cherbourg,yes,TRUE,,,,,,,,
689,1,1,female,15,0,1,211.3375,S,First,child,FALSE,B,Southampton,yes,FALSE,,,,,,,,
690,1,1,male,31,1,0,57,S,First,man,TRUE,B,Southampton,yes,FALSE,,,,,,,,
694,0,1,male,60,0,0,26.55,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
698,0,1,male,49,1,1,110.8833,C,First,man,TRUE,C,Cherbourg,no,FALSE,,,,,,,,
700,1,1,female,18,1,0,227.525,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,,,,,,,
701,1,1,male,35,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,,,,,,,,
707,1,1,male,42,0,0,26.2875,S,First,man,TRUE,E,Southampton,yes,TRUE,,,,,,,,
708,1,1,female,22,0,0,151.55,S,First,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
710,1,1,female,24,0,0,49.5042,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,,,,,,,,
711,0,1,male,,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE,,,,,,,,
712,1,1,male,48,1,0,52,S,First,man,TRUE,C,Southampton,yes,FALSE,,,,,,,,
716,1,1,female,38,0,0,227.525,C,First,woman,FALSE,C,Cherbourg,yes,TRUE,,,,,,,,
724,1,1,male,27,1,0,53.1,S,First,man,TRUE,E,Southampton,yes,FALSE,,,,,,,,
730,1,1,female,29,0,0,211.3375,S,First,woman,FALSE,B,Southampton,yes,TRUE,,,,,,,,
737,1,1,male,35,0,0,512.3292,C,First,man,TRUE,B,Cherbourg,yes,TRUE,,,,,,,,
740,1,1,male,,0,0,30,S,First,man,TRUE,D,Southampton,yes,TRUE,,,,,,,,
741,0,1,male,36,1,0,78.85,S,First,man,TRUE,C,Southampton,no,FALSE,,,,,,,,
742,1,1,female,21,2,2,262.375,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
745,0,1,male,70,1,1,71,S,First,man,TRUE,B,Southampton,no,FALSE,,,,,,,,
748,0,1,male,19,1,0,53.1,S,First,man,TRUE,D,Southampton,no,FALSE,,,,,,,,
759,1,1,female,33,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,,,,,,,,
763,1,1,female,36,1,2,120,S,First,woman,FALSE,B,Southampton,yes,FALSE,,,,,,,,
765,1,1,female,51,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE,,,,,,,,
766,0,1,male,,0,0,39.6,C,First,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
779,1,1,female,43,0,1,211.3375,S,First,woman,FALSE,B,Southampton,yes,FALSE,,,,,,,,
781,1,1,female,17,1,0,57,S,First,woman,FALSE,B,Southampton,yes,FALSE,,,,,,,,
782,0,1,male,29,0,0,30,S,First,man,TRUE,D,Southampton,no,TRUE,,,,,,,,
789,0,1,male,46,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE,,,,,,,,
793,0,1,male,,0,0,30.6958,C,First,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
796,1,1,female,49,0,0,25.9292,S,First,woman,FALSE,D,Southampton,yes,TRUE,,,,,,,,
802,1,1,male,11,1,2,120,S,First,child,FALSE,B,Southampton,yes,FALSE,,,,,,,,
806,0,1,male,39,0,0,0,S,First,man,TRUE,A,Southampton,no,TRUE,,,,,,,,
809,1,1,female,33,1,0,53.1,S,First,woman,FALSE,E,Southampton,yes,FALSE,,,,,,,,
815,0,1,male,,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE,,,,,,,,
820,1,1,female,52,1,1,93.5,S,First,woman,FALSE,B,Southampton,yes,FALSE,,,,,,,,
822,0,1,male,38,0,0,0,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
829,1,1,female,62,0,0,80,,First,woman,FALSE,B,,yes,TRUE,,,,,,,,
835,1,1,female,39,1,1,83.1583,C,First,woman,FALSE,E,Cherbourg,yes,FALSE,,,,,,,,
839,1,1,male,,0,0,29.7,C,First,man,TRUE,C,Cherbourg,yes,TRUE,,,,,,,,
842,1,1,female,30,0,0,31,C,First,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
849,1,1,female,,1,0,89.1042,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,,,,,,,
853,1,1,female,16,0,1,39.4,S,First,woman,FALSE,D,Southampton,yes,FALSE,,,,,,,,
856,1,1,female,45,1,1,164.8667,S,First,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
857,1,1,male,51,0,0,26.55,S,First,man,TRUE,E,Southampton,yes,TRUE,,,,,,,,
862,1,1,female,48,0,0,25.9292,S,First,woman,FALSE,D,Southampton,yes,TRUE,,,,,,,,
867,0,1,male,31,0,0,50.4958,S,First,man,TRUE,A,Southampton,no,TRUE,,,,,,,,
871,1,1,female,47,1,1,52.5542,S,First,woman,FALSE,D,Southampton,yes,FALSE,,,,,,,,
872,0,1,male,33,0,0,5,S,First,man,TRUE,B,Southampton,no,TRUE,,,,,,,,
879,1,1,female,56,0,1,83.1583,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,,,,,,,
887,1,1,female,19,0,0,30,S,First,woman,FALSE,B,Southampton,yes,TRUE,,,,,,,,
889,1,1,male,26,0,0,30,C,First,man,TRUE,C,Cherbourg,yes,TRUE,,,,,,,,
9,1,2,female,14,1,0,30.0708,C,Second,child,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
15,1,2,female,55,0,0,16,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
17,1,2,male,,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
20,0,2,male,35,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
21,1,2,male,34,0,0,13,S,Second,man,TRUE,D,Southampton,yes,TRUE,,,,,,,,
33,0,2,male,66,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
41,0,2,female,27,1,0,21,S,Second,woman,FALSE,,Southampton,no,FALSE,,,,,,,,
43,1,2,female,3,1,2,41.5792,C,Second,child,FALSE,,Cherbourg,yes,FALSE,,,,,,,,
53,1,2,female,29,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
56,1,2,female,21,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
58,1,2,female,5,1,2,27.75,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
66,1,2,female,29,0,0,10.5,S,Second,woman,FALSE,F,Southampton,yes,TRUE,,,,,,,,
70,0,2,male,32,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
72,0,2,male,21,0,0,73.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
78,1,2,male,0.83,0,2,29,S,Second,child,FALSE,,Southampton,yes,FALSE,,,,,,,,
84,1,2,female,17,0,0,10.5,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
98,1,2,female,34,0,1,23,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
99,0,2,male,34,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
117,0,2,male,29,1,0,21,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
120,0,2,male,21,2,0,73.5,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
122,0,2,male,32.5,1,0,30.0708,C,Second,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
123,1,2,female,32.5,0,0,13,S,Second,woman,FALSE,E,Southampton,yes,TRUE,,,,,,,,
133,1,2,female,29,1,0,26,S,Second,woman,FALSE,,Southampton,yes,FALSE,,,,,,,,
134,0,2,male,25,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
135,0,2,male,23,0,0,15.0458,C,Second,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
144,0,2,male,18,0,0,11.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
145,0,2,male,19,1,1,36.75,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
148,0,2,male,36.5,0,2,26,S,Second,man,TRUE,F,Southampton,no,FALSE,,,,,,,,
149,0,2,male,42,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
150,0,2,male,51,0,0,12.525,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
161,1,2,female,40,0,0,15.75,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
178,0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
181,0,2,male,,0,0,15.05,C,Second,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
183,1,2,male,1,2,1,39,S,Second,child,FALSE,F,Southampton,yes,FALSE,,,,,,,,
190,1,2,female,32,0,0,13,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
191,0,2,male,19,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
193,1,2,male,3,1,1,26,S,Second,child,FALSE,F,Southampton,yes,FALSE,,,,,,,,
199,0,2,female,24,0,0,13,S,Second,woman,FALSE,,Southampton,no,TRUE,,,,,,,,
211,1,2,female,35,0,0,21,S,Second,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
213,0,2,male,30,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
217,0,2,male,42,1,0,27,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
219,0,2,male,30,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
221,0,2,male,27,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
226,1,2,male,19,0,0,10.5,S,Second,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
228,0,2,male,18,0,0,13,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
232,0,2,male,59,0,0,13.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
234,0,2,male,24,0,0,10.5,S,Second,man,TRUE,,Southampton,no,TRUE,,,,,,,,
236,0,2,male,44,1,0,26,S,Second,man,TRUE,,Southampton,no,FALSE,,,,,,,,
